cuda:1
Namespace(withAug=False, AugDirect=20, method_name='SAGE', seed=100, IsDirectedData=False, dataset='WebKB/texas', undirect_dataset='CiteSeer', MakeImbalance=True, CustomizeMask=False, K=2, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
excel_file_path is  FalseAug_SAGE_CiteSeer_output.xlsx
12-04-19:03:07
Dataset is  CiteSeer() 
Chosen from DirectedData:  False
Num of bidrected edges: 4552, total num of edges: 9104
This is directed graph:  False
data_x torch.Size([3327, 3703])
cuda:1
0
mu  cpu cpu
GraphSAGE2(
  (conv1): SAGEConv(3703, 64)
  (conv2): SAGEConv(64, 6)
)
cuda:1
Epoch:0, test_Acc: 23.70, test_bacc: 17.24, test_f1: 7.49
Epoch:1, test_Acc: 23.70, test_bacc: 17.24, test_f1: 7.49
Epoch:2, test_Acc: 23.70, test_bacc: 17.24, test_f1: 7.49
Epoch:3, test_Acc: 23.70, test_bacc: 17.24, test_f1: 7.49
Epoch:4, test_Acc: 26.40, test_bacc: 19.71, test_f1: 11.48
Epoch:5, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:6, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:7, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:8, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:9, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:10, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:11, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:12, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:13, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:14, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:15, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:16, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:17, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:18, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:19, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:20, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:21, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:22, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:23, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:24, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:25, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:26, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:27, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:28, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:29, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:30, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:31, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:32, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:33, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:34, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:35, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:36, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:37, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:38, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:39, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:40, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:41, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:42, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:43, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:44, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:45, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:46, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:47, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:48, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:49, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:50, test_Acc: 35.80, test_bacc: 29.10, test_f1: 17.14
Epoch:51, test_Acc: 33.50, test_bacc: 28.00, test_f1: 19.66
Epoch:52, test_Acc: 34.20, test_bacc: 28.61, test_f1: 20.50
Epoch:53, test_Acc: 34.70, test_bacc: 29.10, test_f1: 21.32
