cuda:1
Namespace(withAug=True, AugDirect=20, method_name='GCN', seed=100, IsDirectedData=False, dataset='WebKB/texas', undirect_dataset='CiteSeer', MakeImbalance=True, CustomizeMask=False, K=2, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
excel_file_path is  TrueAug_GCN_CiteSeer_output.xlsx
12-04-19:00:15
Dataset is  CiteSeer() 
Chosen from DirectedData:  False
Num of bidrected edges: 4552, total num of edges: 9104
This is directed graph:  False
data_x torch.Size([3327, 3703])
cuda:1
0
mu  cpu cpu
StandGCN2(
  (conv1): GCNConv(3703, 64)
  (conv2): GCNConv(64, 6)
)
cuda:1
Epoch:0, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:1, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:2, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:3, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:4, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:5, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:6, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:7, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:8, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:9, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:10, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:11, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:12, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:13, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:14, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:15, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:16, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:17, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:18, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:19, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:20, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:21, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:22, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:23, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:24, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:25, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:26, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:27, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:28, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:29, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:30, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:31, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:32, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:33, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:34, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:35, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:36, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:37, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:38, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:39, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:40, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:41, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:42, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:43, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:44, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:45, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:46, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:47, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:48, test_Acc: 18.10, test_bacc: 16.67, test_f1: 5.11
Epoch:49, test_Acc: 18.20, test_bacc: 16.74, test_f1: 5.26
Epoch:50, test_Acc: 18.20, test_bacc: 16.74, test_f1: 5.26
Epoch:51, test_Acc: 18.20, test_bacc: 16.74, test_f1: 5.26
Epoch:52, test_Acc: 18.40, test_bacc: 16.88, test_f1: 5.55
Epoch:53, test_Acc: 18.70, test_bacc: 17.10, test_f1: 5.98
Epoch:54, test_Acc: 18.70, test_bacc: 17.10, test_f1: 5.98
Epoch:55, test_Acc: 19.40, test_bacc: 17.60, test_f1: 6.94
Epoch:56, test_Acc: 20.10, test_bacc: 18.11, test_f1: 7.85
Epoch:57, test_Acc: 21.30, test_bacc: 18.98, test_f1: 9.30
Epoch:58, test_Acc: 22.00, test_bacc: 19.48, test_f1: 10.08
Epoch:59, test_Acc: 22.70, test_bacc: 19.99, test_f1: 10.84
Epoch:60, test_Acc: 23.40, test_bacc: 20.49, test_f1: 11.49
Epoch:61, test_Acc: 23.80, test_bacc: 20.78, test_f1: 11.84
Epoch:62, test_Acc: 24.50, test_bacc: 21.28, test_f1: 12.50
Epoch:63, test_Acc: 25.30, test_bacc: 21.86, test_f1: 13.16
Epoch:64, test_Acc: 26.00, test_bacc: 22.37, test_f1: 13.69
Epoch:65, test_Acc: 26.90, test_bacc: 23.02, test_f1: 14.42
Epoch:66, test_Acc: 27.30, test_bacc: 23.30, test_f1: 14.67
Epoch:67, test_Acc: 28.10, test_bacc: 23.88, test_f1: 15.25
Epoch:68, test_Acc: 28.30, test_bacc: 24.03, test_f1: 15.40
Epoch:69, test_Acc: 28.80, test_bacc: 24.37, test_f1: 15.73
Epoch:70, test_Acc: 28.90, test_bacc: 24.44, test_f1: 15.80
Epoch:71, test_Acc: 29.10, test_bacc: 24.58, test_f1: 15.91
Epoch:72, test_Acc: 29.10, test_bacc: 24.58, test_f1: 15.91
Epoch:73, test_Acc: 30.00, test_bacc: 25.29, test_f1: 16.91
Epoch:74, test_Acc: 30.50, test_bacc: 25.71, test_f1: 17.47
Epoch:75, test_Acc: 31.00, test_bacc: 26.17, test_f1: 18.29
Epoch:76, test_Acc: 31.40, test_bacc: 26.51, test_f1: 18.76
Epoch:77, test_Acc: 32.10, test_bacc: 27.07, test_f1: 19.41
Epoch:78, test_Acc: 32.60, test_bacc: 27.54, test_f1: 20.16
Epoch:79, test_Acc: 33.30, test_bacc: 28.18, test_f1: 21.01
Epoch:80, test_Acc: 33.40, test_bacc: 28.27, test_f1: 21.14
Epoch:81, test_Acc: 34.60, test_bacc: 29.35, test_f1: 22.57
Epoch:82, test_Acc: 34.80, test_bacc: 29.52, test_f1: 22.75
Epoch:83, test_Acc: 35.80, test_bacc: 30.46, test_f1: 23.94
Epoch:84, test_Acc: 36.30, test_bacc: 30.92, test_f1: 24.53
Epoch:85, test_Acc: 36.50, test_bacc: 31.12, test_f1: 24.80
Epoch:86, test_Acc: 36.50, test_bacc: 31.12, test_f1: 24.76
Epoch:87, test_Acc: 36.90, test_bacc: 31.49, test_f1: 25.09
Epoch:88, test_Acc: 37.30, test_bacc: 31.78, test_f1: 25.30
Epoch:89, test_Acc: 37.90, test_bacc: 32.32, test_f1: 25.85
Epoch:90, test_Acc: 38.40, test_bacc: 32.79, test_f1: 26.38
Epoch:91, test_Acc: 38.70, test_bacc: 33.03, test_f1: 26.58
Epoch:92, test_Acc: 38.70, test_bacc: 33.03, test_f1: 26.58
Epoch:93, test_Acc: 39.30, test_bacc: 33.57, test_f1: 27.12
Epoch:94, test_Acc: 39.30, test_bacc: 33.57, test_f1: 27.10
Epoch:95, test_Acc: 39.80, test_bacc: 33.96, test_f1: 27.43
Epoch:96, test_Acc: 40.60, test_bacc: 34.70, test_f1: 28.17
Epoch:97, test_Acc: 41.10, test_bacc: 35.17, test_f1: 28.60
Epoch:98, test_Acc: 41.30, test_bacc: 35.34, test_f1: 28.77
Epoch:99, test_Acc: 42.00, test_bacc: 36.01, test_f1: 29.35
Epoch:100, test_Acc: 42.40, test_bacc: 36.38, test_f1: 29.66
Epoch:101, test_Acc: 42.60, test_bacc: 36.58, test_f1: 29.81
Epoch:102, test_Acc: 42.80, test_bacc: 36.78, test_f1: 29.96
Epoch:103, test_Acc: 42.80, test_bacc: 36.78, test_f1: 29.96
Epoch:104, test_Acc: 42.80, test_bacc: 36.78, test_f1: 29.96
Epoch:105, test_Acc: 42.80, test_bacc: 36.78, test_f1: 29.96
Epoch:106, test_Acc: 43.40, test_bacc: 37.34, test_f1: 30.40
Epoch:107, test_Acc: 43.60, test_bacc: 37.51, test_f1: 30.54
Epoch:108, test_Acc: 43.60, test_bacc: 37.51, test_f1: 30.54
Epoch:109, test_Acc: 43.60, test_bacc: 37.51, test_f1: 30.54
Epoch:110, test_Acc: 43.60, test_bacc: 37.51, test_f1: 30.54
Epoch:111, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:112, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:113, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:114, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:115, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:116, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:117, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:118, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:119, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:120, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:121, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:122, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:123, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:124, test_Acc: 44.20, test_bacc: 38.10, test_f1: 31.07
Epoch:125, test_Acc: 45.40, test_bacc: 39.18, test_f1: 31.66
Epoch:126, test_Acc: 45.70, test_bacc: 39.45, test_f1: 31.76
Epoch:127, test_Acc: 45.90, test_bacc: 39.62, test_f1: 31.88
Epoch:128, test_Acc: 45.90, test_bacc: 39.62, test_f1: 31.88
Epoch:129, test_Acc: 45.90, test_bacc: 39.62, test_f1: 31.88
Epoch:130, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:131, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:132, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:133, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:134, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:135, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:136, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:137, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:138, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:139, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:140, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:141, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:142, test_Acc: 46.30, test_bacc: 39.94, test_f1: 31.92
Epoch:143, test_Acc: 46.80, test_bacc: 40.44, test_f1: 32.25
Epoch:144, test_Acc: 46.80, test_bacc: 40.44, test_f1: 32.25
Epoch:145, test_Acc: 46.80, test_bacc: 40.44, test_f1: 32.23
Epoch:146, test_Acc: 46.90, test_bacc: 40.54, test_f1: 32.29
Epoch:147, test_Acc: 46.90, test_bacc: 40.54, test_f1: 32.29
Epoch:148, test_Acc: 46.90, test_bacc: 40.54, test_f1: 32.29
Epoch:149, test_Acc: 46.90, test_bacc: 40.54, test_f1: 32.29
Epoch:150, test_Acc: 46.90, test_bacc: 40.54, test_f1: 32.29
Epoch:151, test_Acc: 46.90, test_bacc: 40.54, test_f1: 32.29
Epoch:152, test_Acc: 46.90, test_bacc: 40.54, test_f1: 32.29
Epoch:153, test_Acc: 47.10, test_bacc: 40.65, test_f1: 32.50
Epoch:154, test_Acc: 47.10, test_bacc: 40.65, test_f1: 32.50
Epoch:155, test_Acc: 47.40, test_bacc: 40.92, test_f1: 32.64
Epoch:156, test_Acc: 47.60, test_bacc: 41.12, test_f1: 32.82
Epoch:157, test_Acc: 47.60, test_bacc: 41.12, test_f1: 32.82
Epoch:158, test_Acc: 47.60, test_bacc: 41.12, test_f1: 32.82
Epoch:159, test_Acc: 47.60, test_bacc: 41.12, test_f1: 32.82
Epoch:160, test_Acc: 47.60, test_bacc: 41.12, test_f1: 32.82
Epoch:161, test_Acc: 47.60, test_bacc: 41.12, test_f1: 32.82
Epoch:162, test_Acc: 47.60, test_bacc: 41.12, test_f1: 32.82
Epoch:163, test_Acc: 47.60, test_bacc: 41.12, test_f1: 32.82
Epoch:164, test_Acc: 47.60, test_bacc: 41.12, test_f1: 32.82
Epoch:165, test_Acc: 47.60, test_bacc: 41.12, test_f1: 32.82
Epoch:166, test_Acc: 47.60, test_bacc: 41.12, test_f1: 32.82
Epoch:167, test_Acc: 47.60, test_bacc: 41.12, test_f1: 32.82
Epoch:168, test_Acc: 47.80, test_bacc: 41.32, test_f1: 32.73
Epoch:169, test_Acc: 47.80, test_bacc: 41.32, test_f1: 32.73
Epoch:170, test_Acc: 47.80, test_bacc: 41.32, test_f1: 32.73
