cuda:2
Namespace(withAug=True, AugDirect=20, method_name='DiG', seed=100, IsDirectedData=False, dataset='WebKB/texas', undirect_dataset='Cora', MakeImbalance=True, CustomizeMask=False, K=2, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
excel_file_path is  TrueAug_DiG_Cora_output.xlsx
12-04-19:42:39
Dataset is  Cora() 
Chosen from DirectedData:  False
Num of bidrected edges: 5278, total num of edges: 10556
This is directed graph:  False
data_x torch.Size([2708, 1433])
cuda:2
0
mu  cpu cpu
DiModel(
  (conv1): DIGCNConv(1433, 2)
  (conv2): DIGCNConv(2, 2)
  (Conv): Conv1d(2, 7, kernel_size=(1,), stride=(1,))
)
cuda:2
Epoch:0, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:1, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:2, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:3, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:4, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:5, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:6, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:7, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:8, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:9, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:10, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:11, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:12, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:13, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:14, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:15, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:16, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:17, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:18, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:19, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:20, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:21, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:22, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:23, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:24, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:25, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:26, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:27, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:28, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:29, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:30, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:31, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:32, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:33, test_Acc: 14.40, test_bacc: 14.29, test_f1: 3.60
Epoch:34, test_Acc: 14.60, test_bacc: 14.38, test_f1: 3.78
Epoch:35, test_Acc: 14.60, test_bacc: 14.38, test_f1: 3.78
Epoch:36, test_Acc: 14.60, test_bacc: 14.38, test_f1: 3.78
Epoch:37, test_Acc: 14.60, test_bacc: 14.38, test_f1: 3.79
Epoch:38, test_Acc: 14.70, test_bacc: 14.42, test_f1: 3.89
Epoch:39, test_Acc: 15.00, test_bacc: 14.50, test_f1: 4.23
Epoch:40, test_Acc: 15.30, test_bacc: 14.58, test_f1: 4.55
Epoch:41, test_Acc: 17.00, test_bacc: 15.12, test_f1: 5.99
Epoch:42, test_Acc: 23.10, test_bacc: 17.42, test_f1: 9.44
Epoch:43, test_Acc: 32.20, test_bacc: 20.84, test_f1: 12.52
Epoch:44, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:45, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:46, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:47, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:48, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:49, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:50, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:51, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:52, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:53, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:54, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:55, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:56, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:57, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:58, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:59, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:60, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:61, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:62, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:63, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:64, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:65, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:66, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:67, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:68, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:69, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
Epoch:70, test_Acc: 35.70, test_bacc: 20.45, test_f1: 12.88
