cuda:1
Namespace(withAug=False, AugDirect=20, method_name='SAGE', seed=100, IsDirectedData=False, dataset='WebKB/texas', undirect_dataset='Cora', MakeImbalance=True, CustomizeMask=False, K=2, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
excel_file_path is  FalseAug_SAGE_Cora_output.xlsx
12-04-19:35:18
Dataset is  Cora() 
Chosen from DirectedData:  False
Num of bidrected edges: 5278, total num of edges: 10556
This is directed graph:  False
data_x torch.Size([2708, 1433])
cuda:1
0
mu  cpu cpu
GraphSAGE2(
  (conv1): SAGEConv(1433, 64)
  (conv2): SAGEConv(64, 7)
)
cuda:1
Epoch:0, test_Acc: 13.00, test_bacc: 14.29, test_f1: 3.29
Epoch:1, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:2, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:3, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:4, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:5, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:6, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:7, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:8, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:9, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:10, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:11, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:12, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:13, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:14, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:15, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:16, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:17, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:18, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:19, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:20, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
Epoch:21, test_Acc: 36.20, test_bacc: 19.08, test_f1: 14.12
