cuda:0
Namespace(withAug=True, AugDirect=20, method_name='GIN', seed=100, IsDirectedData=True, dataset='WikipediaNetwork/chameleon', undirect_dataset='CiteSeer', MakeImbalance=True, CustomizeMask=False, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
dataset is  WikipediaNetwork
Dataset is  WikipediaNetwork() 
Chosen from DirectedData:  True
Num of bidrected edges: 4680, total num of edges: 36101
This is directed graph:  True
data_x torch.Size([2277, 2325])
cuda:0
splits 10
0
cuda:0
Time consumed in this epoch:  17.237863779067993
Time consumed in this epoch:  14.453035116195679
Time consumed in this epoch:  11.75582766532898
Time consumed in this epoch:  13.755234003067017
Time consumed in this epoch:  14.258302211761475
Time consumed in this epoch:  15.595832586288452
Time consumed in this epoch:  8.699090242385864
Time consumed in this epoch:  9.97244906425476
Time consumed in this epoch:  8.447726726531982
Time consumed in this epoch:  7.928829908370972
Time consumed in this epoch:  9.086488962173462
Time consumed in this epoch:  6.192667245864868
Time consumed in this epoch:  8.274218082427979
Time consumed in this epoch:  8.363296270370483
Time consumed in this epoch:  9.65598201751709
Time consumed in this epoch:  10.653798580169678
Time consumed in this epoch:  13.609468698501587
Time consumed in this epoch:  10.662158250808716
Time consumed in this epoch:  9.953284740447998
Time consumed in this epoch:  10.119359493255615
Time consumed in this epoch:  8.607208013534546
Time consumed in this epoch:  10.063993692398071
Time consumed in this epoch:  8.517170429229736
Time consumed in this epoch:  8.57004690170288
Time consumed in this epoch:  8.856037855148315
Time consumed in this epoch:  7.84600830078125
Time consumed in this epoch:  7.999996185302734
Time consumed in this epoch:  9.359201192855835
Time consumed in this epoch:  8.20688247680664
Time consumed in this epoch:  10.249147891998291
Time consumed in this epoch:  11.946618556976318
Time consumed in this epoch:  10.758230209350586
Time consumed in this epoch:  10.624422311782837
Time consumed in this epoch:  8.527902841567993
Time consumed in this epoch:  9.641849994659424
Time consumed in this epoch:  11.079297304153442
Time consumed in this epoch:  9.624063491821289
Time consumed in this epoch:  9.2136869430542
Time consumed in this epoch:  8.075434446334839
Time consumed in this epoch:  7.806524991989136
Time consumed in this epoch:  9.085551500320435
Time consumed in this epoch:  7.272998094558716
Time consumed in this epoch:  8.641340732574463
Time consumed in this epoch:  7.209316730499268
Time consumed in this epoch:  8.873270273208618
Time consumed in this epoch:  8.79327940940857
Time consumed in this epoch:  7.907461881637573
Time consumed in this epoch:  9.877363920211792
Time consumed in this epoch:  8.363178968429565
Time consumed in this epoch:  8.624387264251709
Time consumed in this epoch:  8.829270601272583
Time consumed in this epoch:  8.898547410964966
Time consumed in this epoch:  9.72398042678833
Time consumed in this epoch:  12.138751983642578
Time consumed in this epoch:  10.124727487564087
Time consumed in this epoch:  10.34034514427185
Time consumed in this epoch:  12.642590999603271
Time consumed in this epoch:  10.25788426399231
Time consumed in this epoch:  9.654261112213135
Time consumed in this epoch:  8.442952394485474
Time consumed in this epoch:  8.132753849029541
Time consumed in this epoch:  8.362232446670532
Time consumed in this epoch:  8.107042789459229
Time consumed in this epoch:  7.406948566436768
Time consumed in this epoch:  7.340006589889526
Time consumed in this epoch:  7.964126825332642
Time consumed in this epoch:  8.463852167129517
Time consumed in this epoch:  7.680623769760132
Time consumed in this epoch:  7.840046167373657
Time consumed in this epoch:  7.647739887237549
Time consumed in this epoch:  7.633735418319702
Time consumed in this epoch:  8.419128894805908
Time consumed in this epoch:  6.508564233779907
Time consumed in this epoch:  7.759120941162109
Time consumed in this epoch:  7.836862802505493
Time consumed in this epoch:  8.236039876937866
Time consumed in this epoch:  8.902277708053589
Time consumed in this epoch:  8.823155641555786
Time consumed in this epoch:  7.962188720703125
Time consumed in this epoch:  9.583688497543335
Time consumed in this epoch:  8.169823408126831
Time consumed in this epoch:  8.979858875274658
Time consumed in this epoch:  8.938291549682617
