cuda:0
Namespace(withAug=True, AugDirect=20, method_name='Cheb', seed=100, IsDirectedData=True, dataset='WikipediaNetwork/chameleon', undirect_dataset='CiteSeer', MakeImbalance=True, CustomizeMask=False, K=2, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
dataset is  WikipediaNetwork
Dataset is  WikipediaNetwork() 
Chosen from DirectedData:  True
Num of bidrected edges: 4680, total num of edges: 36101
This is directed graph:  True
data_x torch.Size([2277, 2325])
cuda:0
splits 10
0
cuda:0
Epoch:0, test_Acc: 20.61, test_bacc: 20.29, test_f1: 11.70
Epoch:1, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:2, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:3, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:4, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:5, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:6, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:7, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:8, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:9, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:10, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:11, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:12, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:13, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:14, test_Acc: 18.42, test_bacc: 18.43, test_f1: 11.54
Epoch:15, test_Acc: 19.74, test_bacc: 21.28, test_f1: 9.13
Epoch:16, test_Acc: 20.61, test_bacc: 22.07, test_f1: 10.21
Epoch:17, test_Acc: 21.27, test_bacc: 22.61, test_f1: 11.02
Epoch:18, test_Acc: 22.81, test_bacc: 23.94, test_f1: 12.57
Epoch:19, test_Acc: 25.88, test_bacc: 26.68, test_f1: 15.10
